"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"ЛКЭ. Тест создания группы: имя - №-timestamp, тип - Признак договора, признак - Рандом","6699","test_group_attr_add_lke[lke]","tests","Sun Sep 28 23:14:51 SAMT 2025","passed","Sun Sep 28 23:14:57 SAMT 2025","","test_group_lke","",""
"ЛКЗ, Назначение пользователя в подразделение","11250","test_accept_user_to_division_lkz[lkz]","tests","Mon Sep 29 01:07:21 SAMT 2025","passed","Mon Sep 29 01:07:32 SAMT 2025","","test_subdivision_lkz","",""
"ЛКЭ. Тест создания и редактирования специалиста Экс: 1) создаем: ФИО - ФИО-timestamp, паспорт - Албания/Тирана, тип - Грузчик/Сборщик/Стропальщик, годен до - 10.10.2045, № паспорт/код/права/тлф.апп/тлф. - Рандом.2) редактируем: ФИО - ФИО-timestamp, паспорт - РФ, тип - Такелажник/Упаковщик/Карщик, годен до - 10.10.2045, № паспорт/код/права/тлф.апп/тлф. - Рандом.","60987","test_loader_edit_1_lke[lke]","tests","Sun Sep 28 23:23:49 SAMT 2025","broken","Sun Sep 28 23:24:50 SAMT 2025","","test_loader_edit","",""
"ЛКЗ. Тест сортировок списка пользователей по всем столбцам","432","test_sorting_employee_lkz[lkz]","tests","Mon Sep 29 00:45:46 SAMT 2025","passed","Mon Sep 29 00:45:46 SAMT 2025","","test_sorting","",""
"ЛКЗ. Тест бокового меню: переход по всем вкладкам, ожидание прогрузки, проверка вкладки по названию","85905","test_sidebar_lkz[lkz]","tests","Mon Sep 29 00:20:53 SAMT 2025","broken","Mon Sep 29 00:22:19 SAMT 2025","","test_sidebar","",""
"ЛКЭ. Тест создания и редактирования ГМ Экс с влож ГМ ГВ: 1) создаем ГМ ГВ: тип - Короб, кол-во/вес/объем/цена/температура - Рандом, статус - Новое, название/накладная/штрихкод/пломба/внешнийid/коммент - ГМ-timestamp, адреса - Первые из списка.2) создаем ГМ Экс с влож: тип - Короб, кол-во/вес/объем/цена/температура - Рандом, статус - Новое, название/накладная/штрихкод/пломба/внешнийid/коммент - ГМ-timestamp, адреса - Первые из списка. 3) редактируем: кол-во/вес/объем/цена/температура - Рандом, название/накладная/штрихкод/пломба/внешнийid/коммент - ГМ-timestamp","123552","test_cargo_place_edit_own_lke[lke]","tests","Sun Sep 28 22:12:25 SAMT 2025","broken","Sun Sep 28 22:14:28 SAMT 2025","","test_cargo_place_edit","",""
"ЛКЭ. Тест прикрепления тарифа к ДУ c ПВ: создаем базовый ДУ и сразу прикрепляем существующий тариф - Первый в списке","9984","test_tariff_attach_producer_lke[lke]","tests","Mon Sep 29 01:08:49 SAMT 2025","passed","Mon Sep 29 01:08:59 SAMT 2025","","test_tariff_attach_lke","",""
"ЛКЭ. Тест создания Тягача Внутр. ПВ: номер - ВТЯГ-timestamp, модель - Тягач, выпуск - 2023г, собственник - Подрядчик, добавить/убрать - 2 и 1 водителя, эксплуатация - останавливаем/восстанавливаем","9158","test_tractor1_inner_add_lke[lke]","tests","Mon Sep 29 01:57:45 SAMT 2025","broken","Mon Sep 29 01:57:54 SAMT 2025","","test_vehicle_add_lke","",""
"ЛКЭ. Тест сортировок списков рейсов по всем столбцам","126610","test_sorting_orders_lke[lke]","tests","Mon Sep 29 00:30:28 SAMT 2025","passed","Mon Sep 29 00:32:35 SAMT 2025","","test_sorting","",""
"ЛКЭ. Тест создания и редактирование внутреннего водителя Экспедитора: 1) создаем: ФИО - ФИО-timestamp, паспорт/права - РФ/РФ, № паспорт/код/права/тлф.апп/тлф. - Рандом, книжка - Нет.2) редактируем: ФИО - ФИО-timestamp, паспорт/права - РФ/Другой, выдал - Кто-то, город - Другой, № паспорт/код/права/тлф.апп/тлф. - Рандом, книжка - Да.","86643","test_driver_edit_inner_lke[lke]","tests","Sun Sep 28 22:35:51 SAMT 2025","passed","Sun Sep 28 22:37:18 SAMT 2025","","test_driver_edit_lke","",""
"ЛКЗ, Тестирование: Создание ЛТЛ заявки - новое ГМ, адреса, публикация","108977","test_add_new_ltl_lkz[lkz]","tests","Sun Sep 28 23:29:03 SAMT 2025","broken","Sun Sep 28 23:30:52 SAMT 2025","","test_new_cdr","",""
"ЛКЭ. Создание полей","19301","test_create_custom_field_lke[lke]","tests","Mon Sep 29 00:11:27 SAMT 2025","passed","Mon Sep 29 00:11:46 SAMT 2025","","test_settings_custom_lke","",""
"ЛКЭ. Тест назначения пользователя в Группу","36862","test_user_group_lke[lke]","tests","Mon Sep 29 01:48:04 SAMT 2025","passed","Mon Sep 29 01:48:40 SAMT 2025","","test_user_operations_lke","",""
"ЛКП. Тест создания LTL тарифа: название - LTL-timestamp, тип - Короб, мин.вес/объем вес/сбор прям./сбор обр. - Рандом, регион - Свердл/Алтай, минималка/доплата/темп.коэф/срок - Рандом","74529","test_ltl_tariff_add_lkp[lkp]","tests","Mon Sep 29 01:32:43 SAMT 2025","broken","Mon Sep 29 01:33:57 SAMT 2025","","test_tariff_ltl_add_lkp","",""
"ЛКП. Тест создания и редактирования ПП ПВ: 1) создаем ПП: номер - ПП-timestamp, модель - Полуприцеп, выпуск - 2020г, собственник - Аренда,тип - Самосвал, кузов - Самосвал, грузоподемность/объем/высота - Макс. доп.парам - Все2) редактируем ПП: выпуск - 2024г, собственник - Лизинг, тип - Контейнеровоз, кузов - Контейнеровоз, грузоподемность/высота/площадка - Мин, доп.парам - Нет","27548","test_semitrailer2_edit_lkp[lkp]","tests","Mon Sep 29 02:05:15 SAMT 2025","failed","Mon Sep 29 02:05:42 SAMT 2025","","test_vehicle_edit_lkp","",""
"ЛКЗ, Тестирование: Создание ФТЛ заявки - город, грузоперевозка, новое ГМ, публикация на ЛКП","114863","test_add_new_ftl_lkz_lkp[lkz]","tests","Sun Sep 28 21:48:03 SAMT 2025","broken","Sun Sep 28 21:49:58 SAMT 2025","","test_new_cdr","",""
"ЛКЭ. Тест создания FTL заявки от ГВ: тип - Город, подача - Сейчас, ТС - Груз 0.5т, кузов - Закрытый, адреса - Конкретные, публикация - Тариф","20220","test_ftl_request_add_lke[lke]","tests","Sun Sep 28 23:46:04 SAMT 2025","broken","Sun Sep 28 23:46:24 SAMT 2025","","test_order_ftl","",""
"ЛКЭ. Тест создания договора страхования: номер и название - № и Н-timestamp, срок - с Сегодня, макс стоимость - 1ккк, бордеро - Да, премия - 0.05%, мин - 50руб, в конце - Удаляем","9507","test_insurance_contract_add_lke[lke]","tests","Sun Sep 28 23:17:27 SAMT 2025","passed","Sun Sep 28 23:17:37 SAMT 2025","","test_insurance_add","",""
"ЛКЭ. Тест создания ДУ с внутр. ПВ: номер - №-timestamp, срок - с Сегодня по 40 год, коммент - ДУ создано автотестом","15480","test_extra_agreements_inner_contractor_add_lke[lke]","tests","Sun Sep 28 22:40:17 SAMT 2025","passed","Sun Sep 28 22:40:33 SAMT 2025","","test_extra_agreement_add_lke","",""
"ЛКП. Тест создания ДУ с ГВ: номер - №-timestamp, срок - с Сегодня по 40 год, коммент - ДУ создано автотестом","14319","test_extra_agreements_client_add_lkp[lkp]","tests","Sun Sep 28 22:40:50 SAMT 2025","passed","Sun Sep 28 22:41:05 SAMT 2025","","test_extra_agreement_add_lkp","",""
"ЛКЭ. Редактирование полей","21608","test_edit_custom_field2_lke[lke]","tests","Mon Sep 29 00:14:23 SAMT 2025","passed","Mon Sep 29 00:14:45 SAMT 2025","","test_settings_custom_lke","",""
"ЛКЗ. Тест создания адреса: статус - Активный, заполняем поля - Все, в конце - Удаляем","31262","test_address_add_lkz[lkz]","tests","Sun Sep 28 21:56:42 SAMT 2025","passed","Sun Sep 28 21:57:13 SAMT 2025","","test_address_add","",""
"ЛКП. Создание поля Заявка","19594","test_create_custom_field_lkp[lkp]","tests","Mon Sep 29 00:16:22 SAMT 2025","passed","Mon Sep 29 00:16:41 SAMT 2025","","test_settings_custom_lkp","",""
"ЛКЭ. Тест создания тягача Экс: номер - ТЯГ-timestamp, модель - Тягач, выпуск - 2023г, собственник - Подрядчик, добавить/убрать - 2 и 1 водителя, эксплуатация - останавливаем/восстанавливаем","19700","test_tractor1_add_lke[lke]","tests","Mon Sep 29 01:53:32 SAMT 2025","failed","Mon Sep 29 01:53:51 SAMT 2025","","test_vehicle_add_lke","",""
"ЛКП. Тест копирования FTL тарифа: фильтр - ПЧ, тип - Почасовой, округление - Час, название - ПЧ-timestamp, ТС - Старый, кузов - Старый, минималка - Рандом, оригинал - Удаляем","6865","test_tariff_ftl_h_copy_lkp[lkp]","tests","Mon Sep 29 01:16:19 SAMT 2025","passed","Mon Sep 29 01:16:26 SAMT 2025","","test_tariff_edit_lkp","",""
"ЛКП. Тест создания водителя Экс: ФИО - ФИО-timestamp, паспорт/права - РФ, № паспорт/код/права/тлф.апп/тлф. - Рандом, добавить/убрать - 2 и 1 ТС, работа - останавливаем/востанавливаем/увольняем","335647","test_driver_add_lkp[lkp]","tests","Sun Sep 28 22:29:08 SAMT 2025","passed","Sun Sep 28 22:34:44 SAMT 2025","","test_driver_add_lkp","",""
"ЛКП. Редактирование поля Договор на Контрагент","18569","test_edit_custom_field2_lkp[lkp]","tests","Mon Sep 29 00:18:34 SAMT 2025","passed","Mon Sep 29 00:18:53 SAMT 2025","","test_settings_custom_lkp","",""
"ЛКЭ. Тест удаления пользователя: пользователь - Первый в списке","2960","test_user_delete_lke[lke]","tests","Mon Sep 29 01:39:15 SAMT 2025","passed","Mon Sep 29 01:39:18 SAMT 2025","","test_user_delete","",""
"ЛКЭ. Тест сортировок списков водителей, специалистов и пользователей по всем столбцам","460273","test_sorting_employee_lke[lke]","tests","Mon Sep 29 00:46:03 SAMT 2025","broken","Mon Sep 29 00:53:44 SAMT 2025","","test_sorting","",""
"ЛКЭ. Тест создания ПП Внутр. ПВ: номер - ВПП-timestamp, модель - Полуприцеп, выпуск - 2023г, собственник - Подрядчик, тип - Грузовой, кузов - Тент, грузоподемность/объем/палеты/высота - Рандом, добавить/заменить - Тягач, эксплуатация - останавливаем/восстанавливаем","68754","test_trailer_inner_add_lke[lke]","tests","Mon Sep 29 01:56:22 SAMT 2025","broken","Mon Sep 29 01:57:31 SAMT 2025","","test_vehicle_add_lke","",""
"ЛКЗ. Тест создания FTL заявки: тип - Город, подача - Сейчас, ТС - Груз 0.5т, кузов - Закрытый, адреса - Конкретные, публикация - Тариф","133500","test_ftl_request_add_lkz[lkz]","tests","Sun Sep 28 23:46:38 SAMT 2025","broken","Sun Sep 28 23:48:52 SAMT 2025","","test_order_ftl","",""
"ЛКЗ. Тест фильтров в разделе Все FTl-рейсы ","6227","test_filter_order_ftl_lkz[lkz]","tests","Sun Sep 28 23:10:30 SAMT 2025","failed","Sun Sep 28 23:10:36 SAMT 2025","","test_filter_old_ftl","",""
"ЛКП. Тест создания договора страхования: номер и название - № и Н-timestamp, срок - с Сегодня, макс стоимость - 1ккк, бордеро - Да, премия - 0.05%, мин - 50руб, в конце - Удаляем","9283","test_insurance_contract_add_lkp[lkp]","tests","Sun Sep 28 23:17:54 SAMT 2025","passed","Sun Sep 28 23:18:04 SAMT 2025","","test_insurance_add","",""
"ЛКЭ. Тест создания группы: имя - №-timestamp, тип - Заказчик, заказчик - Рандом","6789","test_group_client_add_lke[lke]","tests","Sun Sep 28 23:15:15 SAMT 2025","passed","Sun Sep 28 23:15:22 SAMT 2025","","test_group_lke","",""
"ЛКЭ, Создание подразделения","7615","test_create_subdivision_lke[lke]","tests","Mon Sep 29 01:04:18 SAMT 2025","passed","Mon Sep 29 01:04:26 SAMT 2025","","test_subdivision_lke","",""
"ЛКП. Тест редактирования пользователя: 1) создание пользователя и фильтрация по его фамилии, 2) редактируем: ФИО - ФИО-timestamp, тип - API, роль - Логист, тлф - Рандом, email - Etimestamp@mail.ru, часовой пояс - Абиджан","42734","test_user_edit_lkp[lkp]","tests","Mon Sep 29 01:46:03 SAMT 2025","passed","Mon Sep 29 01:46:46 SAMT 2025","","test_user_edit_lkp","",""
"ЛКП Тест фильтра 'Полуприцепы' в разделе справочники","32676","test_trailer_directory_lkp[lkp]","tests","Sun Sep 28 22:55:48 SAMT 2025","failed","Sun Sep 28 22:56:21 SAMT 2025","","test_filter_directory_lkp","",""
"ЛКЭ. Тест сортировок списков документов и застрахованных рейсов по всем столбцам","0","test_sorting_documents_lke[lke]","tests","Mon Sep 29 00:42:06 SAMT 2025","broken","Mon Sep 29 00:42:06 SAMT 2025","","test_sorting","",""
"ЛКП. Тест создания ПП ПВ: номер - ПП-timestamp, модель - Полуприцеп, выпуск - 2023г, собственник - Подрядчик, тип - Грузовой, кузов - Тент, грузоподемность/объем/палеты/высота - Рандом, добавить/заменить - Тягач, эксплуатация - останавливаем/восстанавливаем","30978","test_trailer_add_lkp[lkp]","tests","Mon Sep 29 01:59:20 SAMT 2025","failed","Mon Sep 29 01:59:51 SAMT 2025","","test_vehicle_add_lkp","",""
"Тест регистрации личного кабинета Перевозчика: регистрация - По ссылке Экс, тлф. - 98+get_timestamp_eight_signs, инн - Рандом, лицо - Юридическое, почта - Etimestamp@mail.ru, пользователь - Регресс ПВ, после создания заходим в ЛК и проверяем ИНН, далее заходим в ЛК Экс и принимаем ПВ в контур Экс.,","35199","test_registration_new_lkp[via_link]","tests","Sun Sep 28 23:58:01 SAMT 2025","passed","Sun Sep 28 23:58:37 SAMT 2025","","test_registration","",""
"ЛКП. Тест создания и редактирования Тягача внутр. ПВ: 1) создаем Тяг: номер - Тяг-timestamp, модель - Тягач, выпуск - 2019г, собственник - Лизинг,доп.парам - Нет2) редактируем Тяг: выпуск - 2021г, собственник - Аренда, доп.парам - Все","19890","test_tractor_edit_lkp[lkp]","tests","Mon Sep 29 02:05:56 SAMT 2025","failed","Mon Sep 29 02:06:16 SAMT 2025","","test_vehicle_edit_lkp","",""
"ЛКП. Установка уведомлений","92817","test_notification_field_lkp[lkp]","tests","Sun Sep 28 23:42:22 SAMT 2025","broken","Sun Sep 28 23:43:55 SAMT 2025","","test_notifications_lkp","",""
